Phylum;Class;Order;Family;Genus;strain;name;short;conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;blank;0,00460107645976519;0,001857449760821119;0,001057666278262303;0,001520119147882927;-4,64098361683980e-03;0,001751833913071947
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;0 uM;1,00000000000000000;0,000000000000000000;0,999129179760601671;0,004993436527622554;9,99129179760602e-01;0,004993436527622554
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;54 uM;1,00739024805320110;0,017788036285211618;1,004969629288503530;0,006362379357751248;1,00496962928850e+00;0,006362379357751248
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;60 uM;0,99933430343197882;0,014184973958240404;1,002089911158886570;0,008653152038245382;1,00208991115889e+00;0,008653152038245382
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;70 uM;1,00167165934251745;0,020852037822503409;0,991408788953423992;0,014381734639764186;9,91408788953424e-01;0,014381734639764186
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;80 uM;0,88871595672647163;0,184785029632397457;0,914809802175082787;0,137869658352171298;9,14809802175083e-01;0,137869658352171298
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;90 uM;0,04986987275976821;0,078257068246665548;0,047632995754584517;0,075041973708626086;4,67671776926046e-02;0,075551754819763867
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;100 uM;0,00994105825354368;0,003261526299051824;0,007556917661973363;0,002693250396181528;6,61629634971549e-03;0,003702965175208936
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;110 uM;0,00747627487968402;0,003717300518144704;0,006838865505417404;0,003653523644071143;5,78165088176746e-03;0,004253388305956760
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;120 uM;0,00872558121938545;0,004685248184732683;0,005676612323364848;0,003839749465711398;3,42348423957057e-03;0,007951937560133656
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;130 uM;0,00746342901509071;0,003620789253150193;0,005724146413489012;0,003158265080099405;5,05563039982223e-03;0,003294840112739665
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;140 uM;0,00543765816851703;0,003747643326800534;0,005231117120012341;0,003665224553405847;4,75899984543399e-03;0,004373401211822349
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;blank;0,00473024563960766;0,002636110562862086;0,002077858677635918;0,003667007684194729;-1,37709646225209e-03;0,004954870877397485
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;0 uM;1,00000000000000000;0,000000000000000000;0,997647208040003175;0,006448860245980018;9,97647208040003e-01;0,006448860245980018
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;54 uM;0,98701468384489754;0,010008408042780486;0,991945415066477487;0,001877021081891000;9,91945415066477e-01;0,001877021081891000
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;60 uM;0,99143673620946771;0,011752488317864546;0,990734786797824118;0,003428411704353157;9,90734786797824e-01;0,003428411704353157
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;70 uM;1,01154875109946740;0,024131364742508599;1,007374308960202969;0,015994425528687382;1,00737430896020e+00;0,015994425528687382
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;80 uM;0,91204444960488062;0,095165222967119253;0,947818787604911894;0,054328622918403652;9,47818787604912e-01;0,054328622918403652
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;90 uM;0,04801411645614919;0,014729240663722850;0,059091938173274551;0,024149702983201619;5,81036873771836e-02;0,024213315348502070
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;100 uM;0,03755580467782235;0,007113848332993323;0,041849441627736184;0,009628467508290595;3,98688348452383e-02;0,008184750836489381
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;110 uM;0,03888829125315352;0,011881207850783070;0,044334383157561941;0,011745742821687459;4,37579035265089e-02;0,010627799168550195
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;120 uM;0,03831134055703436;0,011172647913805140;0,045488514376297196;0,012678533074605454;4,49120347452442e-02;0,011541332558298797
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;130 uM;0,03962938255465955;0,011758174314159469;0,049203759872223626;0,011772836783257615;4,88194401181883e-02;0,011475553244576541
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;140 uM;0,03546510104446963;0,010463303452011227;0,045059339235148252;0,010980163148571649;4,42194736136477e-02;0,010963112314632609
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;blank;0,00417473350101538;0,001797507531959970;0,000581594774432768;0,000898826005803099;-2,37056829961379e-03;0,001788314009056654
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;0 uM;1,00000000000000000;0,000000000000000000;1,000396713493860945;0,001594070729701565;1,00039671349386e+00;0,001594070729701565
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;54 uM;0,99812145129757934;0,027289071226542217;1,002836259972364141;0,007184452825857167;1,00283625997236e+00;0,007184452825857167
